ztf_id,label,redshift,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_mean_gap,dq_frac_imputed,dq_log_n,dq_sampling_density,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF19acdgwhq,SN Ia,0.02859,24,0.4166666666666667,0.5833333333333334,55.896145899780095,10.956122700124979,2.4302672130339174,0.0,1.380211241711606,0.42936770708719685,18.238953,19.825555599760264,10,18.687926,24.293936304284454,3.9074189998209476,-18.979400500121645,0.18158222222222284,0.4771919462905279,-0.9056236492118921,0.2454696236138496,17.756826,55.896145899780095,14,18.522506,31.838882474852927,21.935983799863607,-16.379691918495265,0.293742615384615,0.9983638181869137,0.6489754756719304,0.6459328355184014,0.4821269999999984,0.35468555623328335,-17.202233850316976
ZTF18aaxcntm,SN Ia,0.02679,32,0.4375,0.5625,101.94767360016704,14.989930500276387,3.2886346322634528,0.0,1.505149978319906,0.313886515208794,16.961105,101.94767360016704,14,18.91652807142857,64.06750217145819,14.982951400335878,-17.935878228386137,0.32434400000000024,-0.36488463876966604,-1.4434953647335231,0.17228769346157893,16.848843,95.78184020007029,18,18.408205111111112,129.6439619975717,8.920983700081706,-20.035584499134917,0.26290864705882366,0.0025387726457831053,-1.182525705072697,0.10270430271526138,0.1122620000000012,1.0643737203964496,-18.338874641568072
ZTF18aawyjjq,SN II,0.04,51,0.27450980392156865,0.7254901960784313,108.82571760006249,17.878194500226527,2.17651435200125,0.0,1.7075701760979363,0.46863922540282626,18.67445,34.90674770018086,14,19.11762628571429,20.66114941654841,3.0631597000174224,-8.073317192096027,0.1536652307692306,1.364382717765356,1.2805334692850137,0.0961939245037871,18.74385,105.83298610011116,37,19.277245999999995,4.111728011893229,11.999930600170046,-2.393482575621264,0.0951177222222219,0.3112522701357877,-1.271585410521355,0.12788596232142924,-0.06939999999999813,0.3298286194737181,-17.49596603016684
ZTF18aaxdrjn,SN Ia,0.0339,34,0.38235294117647056,0.6176470588235294,43.02238419977948,6.0209605996496975,1.3037086121145298,0.0,1.5314789170422551,0.7902862807908789,16.928713,31.00430559972301,13,17.83070930769231,88.25509190478932,6.996724599972367,-62.88226416983698,0.2586800000000003,0.6650206995387489,-1.019112452485241,0.2914381336480772,17.034039,43.02238419977948,21,17.742447238095238,111.45605445363148,10.000960600096732,-38.247491253113125,0.18416760000000015,0.43784068462898373,-0.3089311331056148,0.30286279360144897,-0.10532600000000159,0.7206552164973211,-18.882401564542445
ZTF18aaxsioa,SN Ia,0.03,41,0.43902439024390244,0.5609756097560976,95.94071759982035,7.879409800283611,2.3985179399955086,0.0,1.6127838567197355,0.42734723093291493,16.848797,95.94071759982035,18,18.862622499999997,139.18674416673585,11.999548600055277,-20.78385287034996,0.3726002941176469,-0.4079774377046063,-1.426538642259761,0.14295188812641937,16.853004,92.85092590004206,23,18.450779956521735,110.08242644980257,14.97741900011897,-22.17338194522642,0.27137640909090927,-0.07290353109570608,-1.4415321920648987,0.19233009525777198,-0.004206999999997407,1.0332769077941621,-18.69692534712534
ZTF18aayjvve,SN Ia,0.04727,24,0.375,0.625,76.90377310011536,9.970636599697173,3.3436423087006677,0.0,1.380211241711606,0.31207831595929847,17.695168,69.89902770007029,9,18.983108333333334,63.88917277987721,11.957129599992186,-13.303001892432455,0.6808065000000001,0.4212668619990604,-1.5191572752105702,0.20636413359016395,17.590485,73.90653929999098,15,18.77516486666667,49.55838208171238,15.012708299793303,-13.767328091636235,0.3288164285714283,-0.04941493646665979,-1.5671193929407174,0.25491138961129756,0.10468299999999786,0.9457759538211638,-18.837876085041596
ZTF18aayjyub,SN Ia,0.03,32,0.28125,0.71875,71.92434029979631,13.951805599965155,2.320140009670849,0.0,1.505149978319906,0.4449119709213464,17.20425,27.000740699935704,9,17.837720999999995,110.60420373358106,8.995972199831158,-30.171446266771724,0.29778587499999976,0.7927870885161054,-0.7284443840082173,0.4996438693326672,17.262241,71.90369219984859,23,18.011315521739128,65.93727016686472,14.994965299963951,-18.58774635951841,0.17980172727272728,0.5129062210254601,-0.9437202354598795,0.26349149096839747,-0.057991000000001236,0.3755125762511617,-18.341472347125343
ZTF18aaykjei,SN Ia-pec,0.097,35,0.22857142857142856,0.7714285714285715,95.84944439958781,8.98569449968636,2.81910130587023,0.0,1.5440680443502757,0.365156002929846,19.158302,86.93203700007871,8,19.851489125,3.698494085657868,17.916527800261974,-2.3837077524234336,0.27638071428571465,0.31713723593516124,-1.5941750396625576,0.25960147230659786,18.520172,95.84944439958781,27,19.310748444444442,12.705969204663875,21.06358789978549,-4.032601304714856,0.14352157692307715,0.05758469196858138,-1.048450446930238,0.28165202466914535,0.6381300000000003,0.9069644330713779,-18.93567274485826
ZTF18aaxwjmp,SN Ia,0.08,28,0.32142857142857145,0.6785714285714286,45.89146990003064,6.029803200159222,1.6996840703715053,0.0,1.4471580313422192,0.6101351745976936,18.689339,23.83363420004025,9,18.993438666666666,12.492655523799268,11.83672450017184,-14.270264120463342,0.22717374999999906,0.4879596314088962,-1.464099473470432,0.9866477948318367,18.714363,45.89146990003064,19,19.205653315789473,17.93333623384904,11.880277799908072,-6.34711795692216,0.1718734444444444,0.33496533569606757,-1.227011561726664,0.3493049512917619,-0.02502399999999838,0.5193478058549686,-18.986227008486747
ZTF18aaytovs,SN Ia-91T,0.076,25,0.4,0.6,83.85399310011417,14.98842589976266,3.4939163791714236,0.0,1.3979400086720377,0.2981372630657223,18.255867,42.03268520021811,10,18.999592900000003,19.686891568877478,18.883125000167638,-16.188894505945665,0.3333233333333337,0.05511127049544446,-1.5086254519367164,0.8157012417076704,18.169638,83.83123840019107,15,18.858668400000003,22.76523131069033,15.910995300393552,-6.194660490710107,0.23936092857142835,0.4000918626405898,-1.2852882931490976,0.23425998751233834,0.08622899999999944,0.5013964484165644,-19.30831703493099
ZTF18aazsabq,SN Ia,0.05,24,0.3333333333333333,0.6666666666666666,63.96230320027098,8.888286999892443,2.7809697043596078,0.0,1.380211241711606,0.3752210098634835,18.366161,29.955671299714595,8,19.017555,41.756194737341815,9.019479099661112,-14.94646630157838,0.4648155714285705,0.7776254214004495,-0.5652650208795986,0.4308080004939041,18.233671,63.96230320027098,16,19.329343625,34.85692724115414,11.964444400276989,-8.51289327041875,0.2716862666666666,0.13559301199032717,-1.2769367104907943,0.23009494383792534,0.13249000000000066,0.4683332181757283,-18.28880509520712
ZTF18abauprj,SN Ia-91T,0.028,49,0.40816326530612246,0.5918367346938775,105.96104170009494,7.879409800283611,2.207521702085311,0.0,1.6901960800285136,0.4624341098748947,15.568087,105.86162040010095,20,17.8687199,386.68133881206955,14.927025499753654,-61.92897986182628,0.3833781578947365,-0.8533608812514213,-0.23630119209635003,0.16415122887072592,15.686948,105.91917830007151,29,17.44119124137931,244.37999483251144,21.0482986997813,-58.88247120441658,0.2436277857142858,-0.057635376491983546,-0.853268973061962,0.24800377701881773,-0.118860999999999,0.9994565866078804,-19.827819230238127
ZTF18abckutn,SN IIP,0.0401,32,0.34375,0.65625,90.87925919983536,8.00240739993751,2.931589006446302,0.0,1.505149978319906,0.3521155462946156,19.033085,84.9544329000637,11,19.780827636363636,3.111190605366083,5.97811339981854,-2.245130319045513,0.19532570000000044,0.16578004832409082,-1.8557103605220382,0.0756950113356445,19.016418,90.87925919983536,21,19.364135857142852,7.802246686077727,17.979999999981374,-1.716783053583187,0.10666224999999976,0.6751127775244959,0.7884196128041379,0.2466417381648425,0.01666699999999821,0.9348055172110998,-17.142752936627943
ZTF18abclfee,SN Iax,0.03,32,0.28125,0.71875,55.81106479978189,8.935891200322658,1.8003569290252222,0.0,1.505149978319906,0.5733630081203012,18.535975,25.167638899758458,9,19.125994000000002,28.55929495312728,5.975833300035447,-17.397461913049227,0.3732810000000004,1.5843506159643683,1.715660000234772,0.3113742096325577,18.564842,55.81106479978189,23,19.49238947826087,25.930998297442517,11.95813659997657,-6.756827762679536,0.20152031818181806,0.016319512770813217,-1.6926986419210703,0.27268730027541593,-0.0288669999999982,0.4509435358390943,-17.00974734712534
ZTF18abcrxoj,SN Ia,0.0309,27,0.3333333333333333,0.6666666666666666,75.8643403002061,14.996249999850988,2.917859242315619,0.0,1.4313637641589874,0.3558984351957339,16.985289,66.03525459999219,9,18.903313999999998,0.0,0.0,-22.311610766300696,0.33797137499999996,-1.2136349182619457,0.23436505701632138,0.0,16.933338,75.8643403002061,18,18.28446977777778,67.34632106152324,20.912916699890047,-27.100782128800486,0.2638188823529414,-0.5214782731547533,-1.069671885332005,0.38057097213710345,0.05195100000000252,0.8704386585144113,-18.624619470651197
ZTF18abcflnz,SN Ia,0.024,27,0.3333333333333333,0.6666666666666666,97.81430559977889,9.056770900264382,3.7620886769145727,0.0,1.4313637641589874,0.27603324313801636,16.24954,88.77347220014781,9,17.88000522222222,165.0253733830275,14.974398099817336,-41.033685305401235,0.63389075,0.055891390627160906,-1.6017396621937992,0.20290766899676158,16.453867,97.81430559977889,18,17.893105833333333,159.8577681625352,15.008888899814337,-29.706729730449407,0.33593382352941203,0.002885297609967344,-1.072541434425556,0.1812549166221485,-0.20432699999999926,0.9075714605936791,-18.81163228208506
ZTF18abdfwur,SN Ia,0.07,35,0.42857142857142855,0.5714285714285714,48.92987270001322,3.976006899960339,1.4391139029415654,0.0,1.5440680443502757,0.7153094432634921,18.413471,35.92965279985219,15,19.120828333333336,31.92743699176125,7.888622699771076,-13.181445495865535,0.2255792857142855,1.0432116232081066,-0.17442735177517443,0.2813242834380844,18.545078,48.87990740034729,20,19.17032265,13.89902468322708,14.889178300276399,-7.511439704370724,0.1421874210526315,0.20885565671570844,-0.9707919308895789,0.4380364497755167,-0.13160699999999892,0.7350597558537296,-18.97213527359831
ZTF18abdiwpt,SN Ia,0.073,35,0.4,0.6,67.81946759996936,7.955428299959749,1.9946902235285104,0.0,1.5440680443502757,0.5160760064712718,17.962704,47.05111109977588,14,19.133000857142857,15.177128364570304,16.966817199718207,-18.430268697375286,0.22140515384615392,-0.2958197869498208,-1.3410620112215554,0.5639759156749123,17.86917,67.81946759996936,21,18.78402814285714,28.138111640378952,19.94751159986481,-12.02862561119337,0.20345765,0.05192850170311989,-1.365868009471552,0.41668469948922177,0.09353399999999823,0.6937699861830992,-19.514026374129305
ZTF18abdkimx,SN Ia,0.08,22,0.45454545454545453,0.5454545454545454,47.04048610012978,5.876076400279999,2.240023147625228,0.0,1.3424226808222062,0.4676822419132974,18.489197,40.9765625,10,19.221144300000002,26.59946834213832,10.133402800187469,-10.86243176034066,0.34995533333333345,0.5377821057052399,-1.0336714697129148,0.3285461962656524,18.627623,43.85280090011656,12,19.18709475,12.839657265161767,9.861608800012618,-7.757483927619127,0.1785640000000002,0.6591896507906332,-0.5487539531107828,0.2901224755804449,-0.13842599999999905,0.9344115235269062,-19.186369008486746
ZTF18abecbks,SN Ic,0.03048,27,0.4444444444444444,0.5555555555555556,75.85306710004807,8.924618100281805,2.917425657694156,0.0,1.4313637641589874,0.355951328433269,18.43128,75.7446297002025,12,19.593978666666665,39.40357865617294,2.9115277999080718,-4.845588814000438,0.2738616363636362,-0.33275120596634966,-1.6042911314248351,0.03997533709183272,17.907724,75.85306710004807,15,18.937616066666667,32.5742364917498,11.882291700225323,-8.922769716410754,0.24466328571428594,-0.2067462958922237,-1.3176772196077928,0.18574562565421474,0.5235559999999992,0.9985704282767822,-17.148910886864847
ZTF18abeajml,SN II,0.03651,51,0.35294117647058826,0.6470588235294118,76.9065161999315,12.925254600122571,1.5381303239986301,0.0,1.7075701760979363,0.6631427676091434,17.877586,65.95004629995674,18,19.308843333333336,4.727863640221761,2.9933448997326195,-10.19624205325512,0.2085521764705877,-0.27030713231432507,-1.5581648919371596,0.04754608855225003,17.882742,76.9065161999315,33,18.622688333333333,21.8337153735804,8.001701300032437,-7.770325740145059,0.08516903125000097,-0.20676418654689524,-1.16631836174088,0.11612688186822424,-0.005155999999999494,0.8575352201432247,-18.094589238275667
ZTF18ablrljh,SN Ia,0.094,49,0.40816326530612246,0.5918367346938775,43.96206020005047,3.9385879999026656,0.9158762541677182,0.0,1.6901960800285136,1.1145974455479168,18.903112,41.03491900023073,20,19.507675250000002,13.030767856101274,13.01631940016523,-8.220787298658863,0.23509421052631577,0.8038785524552513,-0.8722456751899772,0.4645599560991193,18.856071,43.83462959993631,29,19.323037,9.94836116176895,15.88734949985519,-6.983582035975354,0.11336628571428596,0.4757876791305525,-0.5330264743760611,0.5684756957729521,0.04704100000000011,0.9361301640904103,-19.122643341525524
ZTF18abeecwe,SN Ia,0.04,24,0.4583333333333333,0.5416666666666666,68.95212970022112,8.978391200304031,2.9979186826183097,0.0,1.380211241711606,0.34806756664867794,17.341581,65.99447919987142,11,18.893973,53.15607857745672,19.058993100188673,-22.90511526626697,0.5210045999999995,-0.004328442244970077,-1.4145202971134017,0.4060678749488332,17.245377,68.82944450015202,13,18.216662999999997,70.80432713350565,15.916736099869013,-21.027545175264116,0.3927178333333332,0.7145597794917864,-0.5255906570684825,0.3008112149440432,0.09620400000000018,0.9588117364469745,-18.82883503016684
ZTF18abfgygp,SN Ia,0.07,44,0.4090909090909091,0.5909090909090909,61.809675900265574,5.869479199871421,1.4374343232619902,0.0,1.6434526764861874,0.7118626551447578,18.02126,55.87513880012557,18,18.941074722222222,27.61363674958138,12.044444399885833,-13.14178518135012,0.23078076470588205,1.039918602340499,-0.43050163960432686,0.2747947429238072,18.175657,61.76756950002164,26,19.163393923076924,24.084157415976293,11.869548599701375,-9.126521215429259,0.13433167999999968,-0.032033911602912794,-1.0560301223177389,0.23787613988564407,-0.15439699999999945,0.9046031639646432,-19.36434627359831
ZTF18abdkkwa,SN Ic,0.02531,32,0.53125,0.46875,82.8710532002151,8.976053199730814,2.6732597806521,0.0,1.505149978319906,0.386142069688538,18.308111,82.81200229981914,17,19.515343176470587,29.70396812140563,9.016469900030643,-5.7307033997840024,0.2256838124999998,-0.05488079446193562,-1.578105148547379,0.12218178535773372,18.097975,82.83516200026497,15,18.955403400000005,16.246030764697537,20.940358799882233,-7.278100927131729,0.1977755000000003,-0.19943809062174414,-0.9988214349548294,0.3383217607476413,0.21013599999999855,0.9997204122031444,-16.868465799318297
ZTF18abfzhct,SN Ic,0.04,29,0.4827586206896552,0.5172413793103449,59.918171300087124,6.978819400072098,2.139934689288826,0.0,1.462397997898956,0.4839934091906746,18.114376,56.892581100109965,14,19.274388142857145,30.917835967236304,7.879409800283611,-10.507930322794452,0.2903471538461538,0.4207331651040876,-1.3485424139517428,0.1607610687356508,17.883156,59.918171300087124,15,18.818164133333333,30.035062104674594,11.023877399973571,-11.965001083794878,0.19600707142857157,0.032471827509721274,-1.4682454954243336,0.22546347478694173,0.23122000000000043,0.9495046304930744,-18.05604003016684
ZTF18abgmcmv,SN Ia-91T,0.01850,54,0.46296296296296297,0.5370370370370371,76.00077550020069,5.869479199871421,1.4339768962302017,0.0,1.7323937598229686,0.7105190656884469,17.028,72.8702429998666,25,18.354978720000002,108.44960577249424,12.122824000194669,-23.732128975608948,0.2155352916666667,0.11628965712280656,-1.7143704888025406,0.1995611369144776,16.372156,76.00077550020069,29,17.51033503448276,134.86260210538717,18.11263890005648,-43.30850696323727,0.16315982142857127,0.15127732991948936,-1.0492483276856486,0.3128903427168074,0.6558439999999983,0.9588092031991724,-17.4679747155421
ZTF18abfzfcv,SN IIb,0.038,33,0.2727272727272727,0.7272727272727273,56.98144680028781,5.896087999921292,1.7806702125089942,0.0,1.5185139398778875,0.5791358740970635,18.993534,53.95811339979991,9,19.54139911111111,7.490357890767364,13.941284699831158,-4.912410051451987,0.2938855,0.7805883397384616,-0.7474929532940551,0.34838554560027,18.663336,56.98144680028781,24,19.351995000000006,9.207095034016392,16.120509300380945,-6.3297134566738285,0.13180013043478264,0.1420073655694059,-1.2116120015483676,0.39452127843169743,0.3301979999999993,0.9469417929824725,-17.065500056611082
ZTF18abjgyyr,SN Ia,0.05,23,0.43478260869565216,0.5652173913043478,57.87677079997957,6.955462999641895,2.6307623090899805,0.0,1.3617278360175928,0.39739604822610664,18.158607,57.87677079997957,10,19.511832499999997,23.814148522541437,18.994560199789703,-12.842078390931945,0.512142888888889,-0.1045578225518199,-1.6388086998564984,0.4885154394924488,17.989454,44.96150460001081,13,18.68151476923077,31.15820203438422,6.000868000090122,-12.530322214469798,0.17276766666666651,0.1414398687244721,-0.560291494357188,0.15402386931486478,0.16915300000000144,1.287251645932811,-18.496359095207122
ZTF18abimsyv,SN Ia,0.085,27,0.2962962962962963,0.7037037037037037,55.965115800034255,5.984421299770474,2.152504453847471,0.0,1.4313637641589874,0.482443386635206,18.56944,49.84790510032326,8,19.549266499999998,17.563246071450724,8.83216440025717,-8.044610708056497,0.4258399999999999,0.4899791675534518,-1.542815901932136,0.21533597222694892,18.661427,55.965115800034255,19,19.262667526315788,19.520661732809252,9.048680600244552,-5.495470327023207,0.15184022222222182,0.2611416228061874,0.028253126108173543,0.19286803359444307,-0.0919869999999996,0.8906960056766782,-19.237770702098494
ZTF18abjrfqx,SN Ia,0.04,33,0.42424242424242425,0.5757575757575758,57.8621642999351,3.982615699991584,1.808192634372972,0.0,1.5185139398778875,0.5703208720112983,17.690443,48.90362269990146,14,19.058906142857143,42.73778038214313,5.94944450026378,-18.540793523728013,0.2788538461538464,0.2705684655058871,-1.7175250971577745,0.1385067704615977,17.584896,57.8621642999351,19,18.560112684210527,32.968903598961305,8.979675900191069,-16.537222414138427,0.163833222222222,0.3190366818472498,-1.0757500033552205,0.18369923860582535,0.10554699999999784,0.8451744467490704,-18.479973030166843
ZTF22aamjqvc,SN II,0.03,34,0.47058823529411764,0.5294117647058824,49.9581250003539,4.9791204002685845,1.5138825757683,0.0,1.5314789170422551,0.6805699773512145,18.171558,49.92319450015202,16,19.167503125,28.40452969786018,14.99872690020129,-13.326241017023989,0.26520613333333287,0.017838087149142832,-1.1162819828954398,0.429461862440029,17.864988,47.999282400123775,18,18.444639666666667,33.66921415946267,14.98059029970318,-16.03654710567361,0.16446694117647057,0.5909779158528654,-0.8161282412525517,0.4537002935834747,0.3065700000000007,1.0400821013112331,-17.37416434712534
ZTF18abkhcwl,SN Ia,0.03164,30,0.4666666666666667,0.5333333333333333,49.90291659999639,7.963298600167036,1.7207902275860822,0.0,1.4771212547196624,0.6011672672455015,16.413445,42.94350690022111,14,17.40541285714286,0.0,0.0,-58.08171289087902,0.2179773076923073,0.45643631074772373,-1.0873766759422694,0.0,16.661526,41.91925919987261,16,17.132121625,104.9855876397475,6.93983789999038,-41.387731589286986,0.11415973333333322,0.3808674168928815,-0.6781687995666688,0.19839773335569003,-0.2480809999999991,1.0244338215869904,-19.247853447655228
ZTF18abkhcrj,SN Ia,0.03823,32,0.4375,0.5625,58.94310180004686,6.0108333001844585,1.901390380646673,0.0,1.505149978319906,0.5428964377978249,17.62713,58.94310180004686,14,18.771154428571432,63.38361546127557,10.136979100294411,-16.681255487134415,0.3131733846153843,0.14464691808101815,-1.381223202389379,0.20769892258509254,17.410471,58.80959490034729,18,18.190180666666667,60.776951613247334,12.849791700020432,-19.524215504309936,0.19461964705882362,0.5154828612505332,-0.3676416798343771,0.279587613637324,0.21665899999999993,1.002270155064421,-18.44500756362217
ZTF18abjtgdo,SN Ia,0.07393,24,0.4166666666666667,0.5833333333333334,34.812245400156826,7.925706000067294,1.5135758869633402,0.0,1.380211241711606,0.689412582386653,18.363695,17.083171300124377,10,18.6997955,8.553629762383478,3.06115740025416,-16.28041082383597,0.11026655555555583,0.24952950791913944,-1.5186705854297042,0.21831082340336955,18.413212,34.812245400156826,14,18.97736528571429,19.99252916945234,5.860544000286609,-9.76400770036017,0.13516969230769285,0.18346171339294176,-0.9990585517895063,0.20242485646501177,-0.04951700000000159,0.49072305172384595,-19.140524604514617
ZTF18ablhvfr,SN Ia,0.085,21,0.42857142857142855,0.5714285714285714,44.93753470014781,5.996666700113565,2.2468767350073904,0.0,1.3222192947339193,0.4673153554178157,18.404037,41.916539300233126,9,19.181623333333334,30.333886203898103,7.925706000067294,-11.145739223236784,0.38901675000000013,0.6547519783620344,-0.509182084635114,0.23317186519309682,18.64276,44.93753470014781,12,19.118045833333333,13.462322556615488,13.95553239993751,-6.883279167686697,0.18157618181818239,0.14787250514526906,-1.5044230286166986,0.45043997688434695,-0.23872300000000024,0.9327734505225374,-19.403173702098496
ZTF18aasprui,SN Ia,0.038,24,0.4166666666666667,0.5833333333333334,25.03623849991709,3.0050232000648975,1.0885321086920474,0.0,1.380211241711606,0.9586104558030744,17.363016,17.96214129962027,10,18.060973299999997,88.12224173194556,11.969097299966961,-21.76436503684978,0.3471207777777789,1.2100923935203975,-0.03589436452689032,1.9971649299853895,17.480255,23.017627300228924,14,17.899936214285713,81.25961932590879,9.973738400265574,-30.36794428970249,0.19998107692307643,1.5273110361806237,1.1368992527628432,0.764629205044333,-0.11723900000000143,0.7803645903781589,-18.696018056611084
ZTF18abmmdif,SN Ia,0.075,23,0.391304347826087,0.6086956521739131,44.869247700087726,5.8871875000186265,2.0395112590948967,0.0,1.3617278360175928,0.5126005266175887,18.274078,32.91131949983537,9,18.87847577777778,28.245984206115274,9.036898199934512,-15.775892131043362,0.29830562500000024,0.7236457353843087,-0.26891696031061674,0.3785179999304125,18.492077,44.84791670041159,14,18.984874357142857,14.840533153526598,14.902754700277,-8.327625402274933,0.14818530769230792,-0.14179030373789045,-1.4319962891889584,0.4976681942882801,-0.21799899999999894,0.7338427717765835,-19.26134439048553
